"Variable
Purpose","Suggested
Level",
,,tanzu-config-monitor:
,,  pivotal-container-service-config:
Service Config,Medium,"    - product-properties,.properties.cloud_provider,value"
Logging,Low,"    - product-properties,.properties.log_sink_resources_deploy,value"
Logging,Low,"    - product-properties,.properties.metric_sink_resources_deploy,value"
Service Config,Medium,"    - product-properties,.properties.network_selector,value"
Service Config,Medium,"    - product-properties,.properties.oidc_selector,value"
Service Config,Medium,"    - product-properties,.properties.pks_api_hostname,value"
Service Config,Medium,"    - product-properties,.properties.plan1_selector,value"
Service Config,High,"    - product-properties,.properties.plan1_selector.active.allow_privileged_containers,value"
Service Config,Medium,"    - product-properties,.properties.plan2_selector,value"
Service Config,High,"    - product-properties,.properties.plan2_selector.active.allow_privileged_containers,value"
Service Config,Medium,"    - product-properties,.properties.plan3_selector,value"
Service Config,High,"    - product-properties,.properties.plan3_selector.active.allow_privileged_containers,value"
Service Config,Medium,"    - product-properties,.properties.plan4_selector,value"
Service Config,High,"    - product-properties,.properties.plan4_selector.active.allow_privileged_containers,value"
Service Config,Medium,"    - product-properties,.properties.plan5_selector,value"
Service Config,High,"    - product-properties,.properties.plan5_selector.active.allow_privileged_containers,value"
Service Config,Medium,"    - product-properties,.properties.plan6_selector,value"
Service Config,Medium,"    - product-properties,.properties.plan7_selector,value"
Service Config,Medium,"    - product-properties,.properties.plan8_selector,value"
Service Config,Medium,"    - product-properties,.properties.plan9_selector,value"
Service Config,Medium,"    - product-properties,.properties.plan10_selector,value"
Service Config,Medium,"    - product-properties,.properties.plan11_selector,value"
Service Config,Medium,"    - product-properties,.properties.plan12_selector,value"
Service Config,Medium,"    - product-properties,.properties.plan13_selector,value"
Service Config,Medium,"    - product-properties,.properties.proxy_selector,value"
Logging,Medium,"    - product-properties,.properties.syslog_selector,value"
Logging,Medium,"    - product-properties,.properties.syslog_selector.enabled.address,value"
Logging,Low,"    - product-properties,.properties.syslog_selector.enabled.port,value"
Logging,Medium,"    - product-properties,.properties.syslog_selector.enabled.tls_enabled,value"
Logging,Low,"    - product-properties,.properties.syslog_selector.enabled.transport_protocol,value"
Authentication,High,"    - product-properties,.properties.uaa,value"
Authentication,High,"    - product-properties,.properties.uaa.saml.name_id_format,value"
Authentication,High,"    - product-properties,.properties.uaa.saml.require_signed_assertions,value"
Authentication,High,"    - product-properties,.properties.uaa.saml.saml_signature_algorithm,value"
Authentication,High,"    - product-properties,.properties.uaa.saml.sign_auth_requests,value"
Authentication,High,"    - product-properties,.properties.uaa.saml.sso_name,value"
Authentication,High,"    - product-properties,.properties.uaa.saml.sso_url,value"
Authentication,High,"    - product-properties,.properties.uaa_pks_cli_access_token_lifetime,value"
Authentication,High,"    - product-properties,.properties.uaa_pks_cli_refresh_token_lifetime,value"
Authentication,High,"    - product-properties,.properties.uaa_pks_cluster_client_access_token_lifetime,value"
Authentication,High,"    - product-properties,.properties.uaa_pks_cluster_client_refresh_token_lifetime,value"
Service Config,Medium,"    - resource-config,pivotal-container-service,elb_names"
,,  bosh-director-config:
Service Config,Medium,"    - properties-configuration,director_configuration,blobstore_type"
Service Config,Medium,"    - properties-configuration,director_configuration,database_type"
Service Config,Medium,"    - properties-configuration,director_configuration,local_blobstore_options,tls_enabled"
Service Config,High,"    - properties-configuration,director_configuration,ntp_servers_string"
Service Config,Low,"    - properties-configuration,director_configuration,resurrector_enabled"
Cipher/Cert,Medium,"    - properties-configuration,security_configuration,opsmanager_root_ca_trusted_certs"
Logging,High,"    - properties-configuration,syslog_configuration,address"
Logging,High,"    - properties-configuration,syslog_configuration,enabled"
Logging,Low,"    - properties-configuration,syslog_configuration,forward_debug_logs"
Logging,Low,"    - properties-configuration,syslog_configuration,port"
Logging,Medium,"    - properties-configuration,syslog_configuration,tls_enabled"
Logging,Low,"    - properties-configuration,syslog_configuration,transport_protocol"
,,  cf-config:
Service Config,Medium,"    - product-properties,.cloud_controller.allow_app_ssh_access,value"
Service Config,Medium,"    - product-properties,.cloud_controller.default_app_ssh_access,value"
Logging,High,"    - product-properties,.cloud_controller.security_event_logging_enabled,value"
Cipher/Cert,Medium,"    - product-properties,.ha_proxy.skip_cert_verify,value"
Service Config,Medium,"    - product-properties,.mysql.remote_admin_access,value"
Service Config,Medium,"    - product-properties,.mysql_monitor.recipient_email,value"
Service Config,Medium,"    - product-properties,.nfs_server.blobstore_internal_access_rules,value"
Logging,Low,"    - product-properties,.properties.cc_logging_level,value"
Cipher/Cert,Medium,"    - product-properties,.properties.gorouter_ssl_ciphers,value"
Cipher/Cert,Medium,"    - product-properties,.properties.haproxy_ssl_ciphers,value"
Logging,Medium,"    - product-properties,.properties.mysql_activity_logging,value"
Service Config,High,"    - product-properties,.properties.route_integrity,value"
Service Config,Medium,"    - product-properties,.properties.route_services.enable.ignore_ssl_cert_verification,value"
Cipher/Cert,Medium,"    - product-properties,.properties.router_client_cert_validation,value"
Service Config,Medium,"    - product-properties,.properties.routing_disable_http,value"
Cipher/Cert,High,"    - product-properties,.properties.routing_minimum_tls_version,value"
Cipher/Cert,Medium,"    - product-properties,.properties.routing_tls_termination,value"
Authentication,Medium,"    - product-properties,.properties.saml_signature_algorithm,value"
Logging,High,"    - product-properties,.properties.syslog_host,value"
Logging,Medium,"    - product-properties,.properties.syslog_tls,value"
Service Config,Medium,"    - product-properties,.properties.system_blobstore,value"
Service Config,Medium,"    - product-properties,.properties.system_database,value"
Service Config,Medium,"    - product-properties,.properties.tcp_routing,value"
Authentication,High,"    - product-properties,.properties.uaa,value"
Authentication,High,"    - product-properties,.properties.uaa.saml.require_signed_assertions,value"
Authentication,High,"    - product-properties,.properties.uaa.saml.sign_auth_requests,value"
Authentication,High,"    - product-properties,.properties.uaa.saml.sso_url,value"
Authentication,High,"    - product-properties,.properties.uaa_database,value"
Authentication,High,"    - product-properties,.properties.uaa_session_cookie_max_age,value"
Authentication,High,"    - product-properties,.properties.uaa_session_idle_timeout,value"
Service Config,High,"    - product-properties,.router.disable_insecure_cookies,value"
Service Config,Low,"    - product-properties,.router.enable_isolated_routing,value"
Logging,Medium,"    - product-properties,.router.enable_write_access_logs,value"
Authentication,Medium,"    - product-properties,.uaa.apps_manager_access_token_lifetime,value"
Authentication,Medium,"    - product-properties,.uaa.apps_manager_refresh_token_lifetime,value"
Authentication,Medium,"    - product-properties,.uaa.cf_cli_access_token_lifetime,value"
Authentication,Medium,"    - product-properties,.uaa.cf_cli_refresh_token_lifetime,value"
Service Config,Medium,"    - product-properties,.properties.container_networking_interface_plugin.silk.network_cidr,value"
Cipher/Cert,Medium,"    - product-properties,.properties.enable_tls_to_internal_pxc,value"
Service Config,Low,"    - product-properties,.properties.experimental_dynamic_egress_enforcement,value"
Logging,Low,"    - product-properties,.properties.routing_log_client_ips,value"
Service Config,Low,"    - product-properties,.properties.smtp_auth_mechanism,value"
Service Config,Medium,"    - product-properties,.properties.smtp_enable_starttls_auto,value"
Service Config,Low,"    - product-properties,.properties.syslog_drop_debug,value"
Authentication,Medium,"    - product-properties,.properties.uaa.saml.name_id_format,value"
Service Config,Low,"    - resource-config,ha_proxy,instances"
Service Config,Low,"    - network-properties,network,name"
,,  p-compliance-scanner-config:
Service Config,High,"    - product-properties,.properties.ntp_server,value"
Logging,High,"    - product-properties,.properties.syslog_host,value"
Logging,High,"    - product-properties,.properties.syslog_port,value"
Service Config,Low,"    - product-properties,.properties.benchmarks,value"
Service Config,Medium,"    - product-properties,.properties.bucket_selector,value"
,,  pivotal-mysql-config:
Logging,Medium,"    - product-properties,.properties.audit_logging_enabled,value"
Service Config,Low,"    - product-properties,.properties.backups_selector,value"
Service Config,Low,"    - product-properties,.properties.backups_selector.azure.account,value"
Service Config,Low,"    - product-properties,.properties.backups_selector.azure.cron_schedule,value"
Service Config,Medium,"    - product-properties,.properties.enable_read_only_admin,value"
Service Config,Medium,"    - product-properties,.properties.enable_secure_binding_credentials,value"
Cipher/Cert,High,"    - product-properties,.properties.enable_tls_selector,value"
Service Config,Low,"    - product-properties,.properties.global_recipient_email,value"
Service Config,Low,"    - network-properties,network,name"
Service Config,Low,"    - network-properties,service_network,name"
,,  pas-windows-config:
Service Config,Medium,"    - product-properties,.properties.bosh_ssh_enabled,value"
Cipher/Cert,High,"    - product-properties,.properties.kms,value"
Service Config,Medium,"    - product-properties,.properties.rdp_enabled,value"
Logging,Medium,"    - product-properties,.properties.system_logging,selected_option"
Logging,High,"    - product-properties,.properties.system_logging,value"
Authentication,High,"    - product-properties,.properties.windows_admin_password, selected_option"
Authentication,High,"    - product-properties,.properties.windows_admin_password, value"
Service Config,Low,"    - network-properties,network,name"
,,  p-spring-cloud-services-config:
Cipher/Cert,Medium,"    - product-properties,.deploy-service-broker.disable_cert_check,value"
Authentication,High,"    - product-properties,.deploy-service-broker.secure_credentials,value"
Service Config,Medium,"    - product-properties,.register-service-broker.enable_global_access,value"
,,  p_spring-cloud-services-config:
Service Config,Low,"    - product-properties,.properties.apply_open_security_group,value"
Service Config,Low,"    - product-properties,.properties.config_server_access,value"
Service Config,Low,"    - network-properties,network,name"
,,  p-rabbitmq-config:
Cipher/Cert,High,"    - product-properties,.properties.enable_tls_selector,value"
Service Config,Medium,"    - product-properties,.properties.global_settings_secure_bindings,value"
Service Config,Low,"    - product-properties,.properties.global_settings_shareable_instances,value"
Service Config,Medium,"    - product-properties,.properties.multitenant_support,value"
Service Config,High,"    - product-properties,.properties.multitenant_support.enabled.broker_operator_set_policy_enabled,value"
Cipher/Cert,High,"    - product-properties,.properties.multitenant_support.enabled.server_ssl_fail_if_no_peer_cert,value"
Cipher/Cert,Medium,"    - product-properties,.properties.multitenant_support.enabled.server_ssl_verification_depth,value"
Cipher/Cert,High,"    - product-properties,.properties.multitenant_support.enabled.server_ssl_verify,value"
